sr no,ques_id,"question(""in quotes"")",ques_image(if any),op1,op2,op3,op4,ans,pt_wieght,money_weight(in lakhs),Image_question or not,(0 or 1)
example,01_03,"""Which one is a fruit?""",null,Brinjal,Cabbage,Potato,Mango,op4,50,10,0,
ex_image_q,02_04,"""are you\'r correct maze""",null,02_04_01.jpg,02_04_02.jpg,02_04_03.jpg,02_04_04.jpg,op2,100,2.5,1,
,roundNo_QuesNo,"""are you\'r correct maze"" ",if not present type null,roundNo_QuesNo_OptionNo,,,,,,,,
,,add a backslash to any quote singe or double inside the quesions,,,,,,,,,,
ROUND1,,,,,,,,,,,,
1,01_01,"""The number that must be added to each of the number 5,27,14 and 37 to make the ratio of first two numbers equal to the ratio of the last two number is""",null,183,190,198,193,op4,50,0,0,
2,01_02,"""In the CBSE boards exams last year,53% passed in Physics,61% passed in Maths,60% passed in Chemistry,24% passed in Physics and Maths,35% in Maths and Chemistry,27% Physics and Chemistry and 5% in none.
If the number of students in the class is 300, what will be the % change in the number of passes in only two subjects, only if original number of students is 200?""",null,More than 50%,Less than 50%,50%,None of these,op3,100,0,0,
3,01_03,"""DEPRL: LRPED :: POCKET: ________""",null,TECHOP,TEKCOP,TELNOQ,TEKOCP,op2,50,0,0,
4,01_04,"""Seven persons consisting of two children Samyak and chinttu, two men chinki and Danny and three women Eshawari, Falguni and Ganga are sitting in a row. Chinki and danny have only one person that too a child sitting between them. Only Samyak sits between Ganga and Eshawari. No two children, no two males and no two females sit next to each other. Eshawari sits to immediate left of chinki. Who is sitting at the extreme left of the row?""",null,Ganga,Eshawari,Falguni,Chinki,op1,50,0,0,
5,01_05,"Choose the image that completes the pattern
",01_05.png,A,B,C,D,op4,50,0,1,
6,01_06,"""One day I met three persons A, B and C each of whom belonged to a different tribe amongst Truth-tellers, Liars and Alternators. It is also known that the truth-tellers always speak the truth, the liars always tell lies and the Alternators alternate between truth and lies in any order. When asked to introduce themselves, each of them gave two replies as given below:
A: B is a liar. I am the truth-teller.
B: I am not the liar. C is the truth teller
C: A is not the Truth-teller. I am not the Liar.
Who among them is Liar?""",null,A,B,C,Cannot be determined,op2,100,0,0,
7,01_07,"""Choose the image that completes the pattern""",01_07.jpg,A,B,C,D,op2,50,0,1,
8,01_08,"""In a survey among students at all the IIM\'s it was found that 48% preferred cola,54% preferred coffee and 64% smoked .Of the total 28% liked cola and coffee,32% smoked and drank coffee and 30% smoked and drank cola. Only 6% did none of these. If the total students are 2000 then the percentage of those who like coffee and smoking but not cola is""",null,14,less than 14,14.9,more than 15,op1,100,0,0,
9,01_09,"""Pointing to a person, Shyam said, he is the only brother of my father\'s mother\'s daugher. How is the person related to Shyam?""",null,Brother,Father,Uncle,Son,op2,50,0,0,
10,01_10,"""A mixture contains alcohol and water in the ratio of 15:9. On adding 23 litres of water, the ratio of alcohol to water becomes 5:10. The quantity of alcohol in the mixture is""",null,18.76,19.38,14.9,16.43,op4,50,0,0,
11,01_11,"""Two stations A and B are 520 km apart on a straight line. One train starts from A at 7 am and travels towards B at 50 kmph. Another train starts from B at 8 am and travels towards A at a speed of 45 kmph. At what time will they meet?""",null,12:00 AM,11:00 AM,11:30 AM,11:26 AM,op1,50,0,0,
12,01_12,"""Which of the following sets are logically related
1.No frontier is limit.
2.Few margins are not frontiers
3.All margins are not frontiers
4.Few margins are frontiers
5.No margin is limit
6.Few limits are margin""",null,521,513,146,136,op2,100,0,0,
13,01_13,"""JAPAN: SUMO :: ______ : ______""

",null,AMERICA : RUGBY,JAMAICA: BASE BALL,BHUTAN: ARCHERY,ENGLAND: FOOTBALL,op3,100,0,0,
14,01_14,"""16 people entered a theater before Shyam. 8 people entered the theater between Shyam and Suraj and 20 People entered the theater after Suraj. how many people are there in the theater?""
",null,44,46,38,None of these,op4,50,0,0,
15,01_15,"""Which of the shapes below continues the sequence""
",01_15.png,A,B,C,D,op2,50,0,1,
